candidate,family,source_rank,source_run,symbol,timeframe,train_expectancy_r,train_max_drawdown_r,train_profit_factor,train_score,train_total_trades,train_win_rate,window
partial_highwin_BTCUSDT_1h_20260608_232410#r39,trend_bb_reversion,39,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.13228061326474733,6.025891579393944,0.6096549974183927,-207.5925780844434,40,0.6,1
partial_highwin_BTCUSDT_1h_20260608_232410#r71,channel_reclaim,71,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,0.04051735574261067,3.1751793627580094,1.323992911990606,-56.03194394109252,92,0.532608695652174,1
partial_highwin_BTCUSDT_1h_20260608_232410#r56,trend_state_tp,56,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.004733755037640906,10.227403594813048,0.958220256404576,-121.60858485100854,268,0.6268656716417911,1
partial_highwin_BTCUSDT_1h_20260608_232410#r15,trend_state_tp,15,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,0.0986472219271766,2.037906888598373,2.1572116119318334,57.13950765774116,174,0.4827586206896552,1
partial_highwin_BTCUSDT_1h_20260608_232410#r144,trend_reclaim,144,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.09642425944676317,16.30115182346563,0.5187902716618992,-219.2026054347871,129,0.7984496124031008,1
partial_highwin_BTCUSDT_1h_20260608_232410#r60,trend_bb_reversion,60,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.2929591654313612,11.425407451823085,0.2842128275441035,-999961,39,0.5897435897435898,1
partial_highwin_BTCUSDT_1h_20260608_232410#r70,range_bb_reversion,70,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.059939196749817646,6.216565280434217,0.5534251853827216,-169.60094049055854,83,0.6506024096385542,1
partial_highwin_BTCUSDT_1h_20260608_232410#r37,range_bb_reversion,37,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.0944328439574455,15.267916002912672,0.6371774119831017,-218.98524164306716,155,0.6516129032258065,1
partial_highwin_BTCUSDT_1h_20260608_232410#r81,channel_reclaim,81,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,0.011918818592654331,5.097151096888103,1.127692340834532,-36.56799616857139,139,0.9136690647482014,1
partial_highwin_BTCUSDT_1h_20260608_232410#r28,trend_state_tp,28,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.01739234817219547,16.05487120786093,0.9263280284677576,-142.4070104706646,215,0.6604651162790698,1
partial_highwin_BTCUSDT_1h_20260608_232410#r110,channel_reclaim,110,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.03738759017469596,3.834769805327937,0.7683990487573089,-149.16755160561007,54,0.5370370370370371,1
partial_highwin_BTCUSDT_1h_20260608_232410#r91,trend_bb_reversion,91,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.14019669386819042,8.952376745764894,0.3220752141588604,-242.8632629244634,58,0.7413793103448276,1
partial_highwin_BTCUSDT_1h_20260608_232410#r31,channel_reclaim,31,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,0.029363659659787766,2.0331057468615836,1.4455578471734618,-18.35539143940239,148,0.6081081081081081,1
partial_highwin_BTCUSDT_1h_20260608_232410#r48,trend_bb_reversion,48,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.08334859640949628,12.469747600688855,0.63459863661737,-243.82913789102523,117,0.5213675213675214,1
partial_highwin_BTCUSDT_1h_20260608_232410#r182,range_bb_reversion,182,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.11690415813788563,7.78326347118945,0.3138665463041368,-237.73148827501876,65,0.6307692307692307,1
partial_highwin_BTCUSDT_1h_20260608_232410#r34,range_bb_reversion,34,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.06187094476876301,11.068550894224991,0.833114727560885,-172.2277909907876,88,0.5340909090909091,1
partial_highwin_BTCUSDT_1h_20260608_232410#r95,trend_reclaim,95,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.01597711041986286,2.4950240494007203,0.8400033032439116,-133.41724058727806,52,0.46153846153846156,1
partial_highwin_BTCUSDT_1h_20260608_232410#r22,trend_state_tp,22,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,0.08207104118935489,3.668601572884011,1.8116541304658376,11.472723298909212,151,0.48344370860927155,1
partial_highwin_BTCUSDT_1h_20260608_232410#r42,trend_bb_reversion,42,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.05332451167360509,3.9262563344965242,0.5890526857829504,-147.3942518661911,63,0.6984126984126984,1
partial_highwin_BTCUSDT_1h_20260608_232410#r93,trend_state_tp,93,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.10203328518178437,5.063655156484375,0.4416600216405692,-229.04767394239076,44,0.4772727272727273,1
partial_highwin_BTCUSDT_1h_20260608_232410#r58,channel_reclaim,58,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,0.04826289021206232,6.169055229185502,1.1430150748873014,-46.22154357273844,68,0.6911764705882353,1
partial_highwin_BTCUSDT_1h_20260608_232410#r74,trend_bb_reversion,74,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.06457213536576083,7.294689974522698,0.5933782073425274,-148.19309123327594,81,0.8395061728395061,1
partial_highwin_BTCUSDT_1h_20260608_232410#r72,channel_reclaim,72,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.10485958083091548,7.759966156864109,0.547263070714485,-257.16375969486865,73,0.3698630136986301,1
partial_highwin_BTCUSDT_1h_20260608_232410#r65,trend_state_tp,65,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,0.05241837046334118,2.960853109713787,1.4171276028437236,-48.05363867453125,76,0.5263157894736842,1
partial_highwin_BTCUSDT_1h_20260608_232410#r114,trend_bb_reversion,114,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.11451869237118192,13.8204528242881,0.36882357639143215,-231.87173546670175,113,0.7876106194690266,1
partial_highwin_BTCUSDT_1h_20260608_232410#r85,trend_bb_reversion,85,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.07748700318733462,10.218450635331717,0.5394803398246781,-188.94404075431595,117,0.7264957264957265,1
partial_highwin_BTCUSDT_1h_20260608_232410#r108,trend_state_tp,108,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,0.01918433105871732,1.7036531745090002,1.1731504001252107,-81.32345092649314,75,0.4266666666666667,1
partial_highwin_BTCUSDT_1h_20260608_232410#r105,range_bb_reversion,105,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.02873242061999386,3.2570724953444183,0.6745098149340853,-140.02907167212337,79,0.5822784810126582,1
partial_highwin_BTCUSDT_1h_20260608_232410#r40,trend_bb_reversion,40,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.10536866126803812,11.168174520454926,0.6086519152918735,-268.6908293665238,80,0.4,1
partial_highwin_BTCUSDT_1h_20260608_232410#r67,range_bb_reversion,67,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.1035413728582465,7.396418094520504,0.5674899214984819,-208.79681165381913,55,0.6,1
partial_highwin_BTCUSDT_1h_20260608_232410#r59,channel_reclaim,59,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,0.013797871194672738,4.718708913320611,1.0447226844518807,-78.71163649309743,45,0.6444444444444445,1
partial_highwin_BTCUSDT_1h_20260608_232410#r99,channel_reclaim,99,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.0930767845381189,7.8459550999803955,0.6658324843706916,-169.1415314514958,57,0.7192982456140351,1
partial_highwin_BTCUSDT_1h_20260608_232410#r139,channel_reclaim,139,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,0.03388849198397515,2.4285162566623906,1.2021698608536802,-39.46799858114548,70,0.6,1
partial_highwin_BTCUSDT_1h_20260608_232410#r30,trend_state_tp,30,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.0991134570986204,10.191472726340306,0.6498794211768326,-224.01923906810958,96,0.5625,1
partial_highwin_BTCUSDT_1h_20260608_232410#r16,trend_state_tp,16,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,0.005416823370679584,11.647749262166117,1.0239682857003687,-183.94122328460978,367,0.3760217983651226,1
partial_highwin_BTCUSDT_1h_20260608_232410#r32,trend_state_tp,32,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.012226848893381525,5.71027943837985,0.9269790955895788,-159.1275230326765,118,0.3559322033898305,1
partial_highwin_BTCUSDT_1h_20260608_232410#r163,range_bb_reversion,163,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.07517302926666107,4.219258536074219,0.5940643529820456,-193.49251227311385,43,0.5116279069767442,1
partial_highwin_BTCUSDT_1h_20260608_232410#r20,trend_state_tp,20,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.028460328775378765,17.262594601956614,0.8725455014859241,-190.0126329390536,247,0.5384615384615384,1
partial_highwin_BTCUSDT_1h_20260608_232410#r75,channel_reclaim,75,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,0.005812884904586256,3.9076602428675438,1.056886590202329,-120.76621981508832,131,0.4580152671755725,1
partial_highwin_BTCUSDT_1h_20260608_232410#r102,channel_reclaim,102,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.04992119296789282,5.2324356659329085,0.6947737512335853,-219.6147029076883,84,0.4166666666666667,1
partial_highwin_BTCUSDT_1h_20260608_232410#r79,trend_bb_reversion,79,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.08644294119312936,6.133927939955431,0.4121083278824556,-221.68823074381436,57,0.543859649122807,1
partial_highwin_BTCUSDT_1h_20260608_232410#r78,trend_state_tp,78,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,0.21626641500132074,2.4517640199429955,2.502808365192406,147.73741610587427,136,0.5514705882352942,1
partial_highwin_BTCUSDT_1h_20260608_232410#r116,channel_reclaim,116,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.018361060539547877,2.32329694448925,0.8075643910187867,-116.57987233592141,45,0.5555555555555556,1
partial_highwin_BTCUSDT_1h_20260608_232410#r158,trend_bb_reversion,158,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.1519862955610989,10.87756129554025,0.21415874413509012,-377.64084908146737,70,0.3142857142857143,1
partial_highwin_BTCUSDT_1h_20260608_232410#r180,channel_reclaim,180,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.05965792478659911,4.234306810124594,0.6677911007597063,-125.00115970074387,61,0.8032786885245902,1
partial_highwin_BTCUSDT_1h_20260608_232410#r162,trend_state_tp,162,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.07532922046961862,9.044487316196427,0.35016186036257413,-238.79301669693524,117,0.5555555555555556,1
partial_highwin_BTCUSDT_1h_20260608_232410#r145,range_bb_reversion,145,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.14626577115754671,7.157860764981919,0.28645625946693365,-260.84665967035727,48,0.6041666666666666,1
partial_highwin_BTCUSDT_1h_20260608_232410#r44,channel_reclaim,44,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,0.08126721434111704,6.434768993227847,1.1303309165135882,-60.030189591766415,71,0.5070422535211268,1
partial_highwin_BTCUSDT_1h_20260608_232410#r66,range_bb_reversion,66,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.13469801122698308,7.6995333356150875,0.37792999893777185,-226.6179281571206,52,0.7692307692307693,1
partial_highwin_BTCUSDT_1h_20260608_232410#r83,channel_reclaim,83,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.1330242765063388,8.917263141448043,0.49745747546720154,-209.19511354535342,49,0.7346938775510204,1
partial_highwin_BTCUSDT_1h_20260608_232410#r54,range_bb_reversion,54,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.25449866976552965,19.941039661445622,0.4182306130836886,-412.77617053070276,64,0.359375,1
partial_highwin_BTCUSDT_1h_20260608_232410#r86,trend_bb_reversion,86,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,0.02170835093626158,2.389341340658711,1.2198871053459197,-76.02845069229323,49,0.5102040816326531,1
partial_highwin_BTCUSDT_1h_20260608_232410#r157,range_bb_reversion,157,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.16032977802841616,6.990351979278381,0.18909392511255343,-299.2461322473471,40,0.45,1
