allow_long,allow_short,atr_stop_mult,atr_tp_mult,bb_lookback,bb_std,bb_width_lookback,bb_width_quantile,donchian_lookback,ema_fast,ema_slow,family,max_holding_bars,max_trend_strength,min_holding_bars,pullback_depth,pullback_rsi,range_lookback,rsi_high,rsi_low,trend_slope_bars,trend_slope_min,trial,validation_avg_drawdown_r,validation_avg_holding_bars,validation_avg_loss,validation_avg_loss_r,validation_avg_r_multiple,validation_avg_win,validation_avg_win_r,validation_calmar_ratio,validation_expectancy,validation_expectancy_r,validation_exposure_pct,validation_max_consecutive_losses,validation_max_drawdown_pct,validation_max_drawdown_r,validation_payoff_ratio,validation_profit_factor,validation_rank_score,validation_sharpe_ratio,validation_sortino_ratio,validation_total_fees,validation_total_return_pct,validation_total_slippage,validation_total_trades,validation_trades_per_day,validation_win_rate,volatility_max,volatility_min,volume_lookback,volume_min,wf_max_dd_r,wf_mean_exp_r,wf_mean_pf,wf_mean_return_pct,wf_min_exp_r,wf_min_pf,wf_min_return_pct,wf_positive_exp,wf_profitable,wf_rank,wf_score,wf_total_trades,wf_windows
True,True,2.360756883853738,4.54915455407612,80,2.0,150,0.25,20,20,100,ema_momentum,18,0.042197132263419715,2,0.0022493702507180953,53.672070876767286,55,80.91781491743573,21.281633819672553,48,0.022081049185926755,833,4.202689350219037,12,-792.8488673547938,-0.8221398709949439,-0.16885452168850612,840.5330865756549,0.8864525810372782,-0.5997857802755159,-168.32047320491637,-0.16885452168850612,0.1408314534321624,5,6.798984402956412,6.913761012425473,1.0601428862223785,0.6562789295662343,-350004.8213665423,-1.4521607796591105,-0.562437647340144,1008.7464438561356,-5.7228960889671585,2022.3350023656615,34,0.06576402321083172,0.38235294117647056,0.2,0.002,100,0.5937998889845955,,,,,,,,,,19,-999944,,
True,True,0.8590315851439703,10.856336762067109,55,2.2,200,0.2,8,30,80,squeeze_breakout,18,0.011674447625437092,1,0.007557734162601417,57.145157838631654,80,77.7281032597807,22.15807927956684,18,0.017178640276115913,844,2.90814583214194,8,-1009.2478516367729,-0.9663989673172569,0.4554248871794071,4337.5937095537965,4.2469551658371785,1.297202664170938,448.98166505156416,0.4554248871794071,0.09216886883660973,9,7.904151060388699,8.19357521561417,4.297847850277011,1.6116929438538794,-349914.3490927004,1.3198176241953077,2.288951291980508,2737.349312002763,14.816394946701623,5482.9508246540645,33,0.06382978723404255,0.2727272727272727,0.12,0.0005,75,0.33930584822136434,,,,,,,,,,20,-999945,,
False,True,3.201857568321436,9.980740792225923,30,1.5,150,0.3,12,10,100,range_reversion,168,0.04853015373876751,2,0.0017207278791782916,53.6456965126054,40,62.90624188571143,35.208453120683856,18,0.013312853766286287,746,5.0270477689728805,12,-967.4830452952732,-1.0,-0.23225450558566785,513.3546814925267,0.5354909888286643,-0.623328727027698,-227.06418190137327,-0.23225450558566785,0.1292297776345472,4,8.326023312086358,8.58417747282112,0.5306084525086971,0.530608452508697,-350019.81881530216,-2.2023060227180205,-32500019976309.95,756.1768089795938,-7.266053820843968,1525.3534338886031,32,0.061895551257253385,0.5,0.2,0.003,30,0.12505452797056466,,,,,,,,,,21,-999946,,
True,True,2.8227259284716113,11.43142469025664,30,2.5,150,0.2,40,20,400,channel_breakout,36,0.00968931881890461,3,0.022760265987284756,56.192594985165925,30,69.93972226841149,31.80477731676078,18,0.010001687071536553,547,4.716398858166092,24,-854.5570113535373,-0.8712076492793823,-0.33283282786817187,1256.117937297197,1.2822916363654597,-0.5627855185242124,-326.88827419085374,-0.33283282786817187,0.15468901063486948,6,8.288083438525005,8.579597537259932,1.469905366884329,0.4899684556281097,-999980,-2.032177163849301,-0.6998007885963677,497.0483836861996,-6.53776548381707,993.2654751286385,20,0.03868471953578337,0.25,0.2,0.003,150,0.7228897615914075,,,,,,,,,,22,-999947,,
True,False,3.475256855409551,9.895054479044164,40,2.2,100,0.2,8,20,50,channel_breakout,48,0.04714462466339071,2,0.010536448434289148,56.894443278988724,80,80.80486349900886,32.146806699233494,3,0.00685610874367022,618,1.4039145775897093,33,-903.9906202796603,-0.8737234831926902,0.16057241037499306,1304.0493927039347,1.2810596284066498,0.9506277742413834,155.8685859524653,0.16057241037499306,0.27006123106670965,3,2.8796390686808797,2.907702345353424,1.4425474816326207,1.331582290737804,-349943.16892080364,0.9016195537703383,0.34520414909864144,586.6535364292181,3.896714648811656,1182.2964718875442,25,0.048355899419729204,0.48,0.2,0.001,50,0.9145542483294168,,,,,,,,,,23,-999948,,
True,False,4.053244000350807,6.798705535184876,40,2.2,200,0.2,20,80,50,range_reversion,72,0.060664888093151036,2,0.025990811870140337,46.203744936746254,55,60.44708667541641,33.700665991061754,3,0.0028322214664640772,508,3.06457765599375,30,-799.56008142586,-0.8063159530426668,-0.14968513119681232,550.2885219137509,0.5574557538679541,-0.5165775625071072,-149.63297611419557,-0.14968513119681232,0.26716081211730586,5,5.558636892049284,5.650753000029048,0.6882391138542313,0.6390791771503574,-350001.45751470065,-1.3913216267370117,-0.2624365077594203,443.7476586509456,-4.040090355083259,880.291767705311,27,0.05222437137330754,0.48148148148148145,0.2,0.002,75,0.26980812388293174,,,,,,,,,,24,-999949,,
True,True,0.8504929687457665,5.033325420606705,40,2.0,150,0.2,120,20,80,channel_breakout,12,0.07414623059175217,3,0.024383044744383655,51.55935289089972,20,71.72708104133685,24.89412407808539,6,0.009346704328689883,129,8.749409591319177,6,-937.4699481699485,-1.0,-0.32109314946796896,2130.9640889785787,2.319100158156596,-0.6529799430858793,-309.8357132986588,-0.32109314946796896,0.08507895584917821,10,15.063669618969206,16.165735933096972,2.2731012264856822,0.5845117439534612,-350049.7552828898,-1.9043039419254824,-56751376355208.17,2949.823747299022,-13.632771385140979,5894.70756540888,44,0.0851063829787234,0.20454545454545456,0.12,0.0,10,0.6110329028943826,,,,,,,,,,25,-999950,,
True,True,3.8736706495877224,6.828067132789153,55,2.2,100,0.2,80,80,50,range_reversion,48,0.06835667896181305,1,0.034052457126844446,52.81769174970443,40,63.95766441314459,36.400579287326636,18,0.004983635632198802,158,6.18470863148722,26,-839.385780961073,-0.8657932300100388,-0.20125924825481603,671.7587084660665,0.7006082984129861,-0.41543071450457425,-198.2941793859228,-0.20125924825481603,0.27779568159845314,7,11.238205485231974,11.82977398231726,0.8002979365422676,0.5896932163995657,-350024.78168041835,-1.848768268238286,-0.5224189093499909,564.126243740998,-6.543707919735447,1147.5375207036498,33,0.06382978723404255,0.42424242424242425,0.12,0.0,150,1.4931029664973552,,,,,,,,,,26,-999951,,
True,False,0.8997842501252299,6.015899133038744,30,1.8,100,0.3,80,50,80,channel_breakout,18,0.07179285327571709,5,0.02747813164735157,50.16475412565874,30,79.93160100544006,27.3813926314634,48,0.0007819293447992398,578,5.051755870576505,10,-976.8045524605069,-1.0,-0.18252666839912784,2816.0200554347634,2.951121102737549,-0.34052466612235854,-192.08221979251994,-0.18252666839912784,0.0986142442797293,9,11.653586839896775,12.244359109039202,2.882889978697778,0.752058255312464,-350020.6729328742,-0.7816429685019113,-25181952463919.363,2038.9704580153432,-5.570384373983077,4070.8802460640673,29,0.05609284332688588,0.20689655172413793,0.2,0.003,10,0.8522366275480068,,,,,,,,,,27,-999952,,
True,True,1.4498136939779298,2.800327583320453,55,2.5,50,0.15,55,14,300,channel_breakout,24,0.06980395983000573,2,0.016318424392276657,49.25562037896224,55,78.08678929972265,18.021787873954136,48,0.016983051279452648,237,6.768681544419726,6,-1001.5677143022455,-1.0,-0.11246283410843663,1409.6660501344668,1.420555906976991,-0.23379846938059864,-117.44866734211769,-0.11246283410843663,0.06219787302610377,9,10.70291249428229,11.243154856030799,1.4074595556592278,0.8148450059079738,-350008.8565271149,-0.720499493075519,-18186537250774.992,1379.3199106350871,-3.523460020263519,2752.1550470782195,30,0.058027079303675046,0.36666666666666664,0.12,0.001,150,0.8675205085475434,,,,,,,,,,28,-999953,,
