trial,wf_score,donchian_lookback,volume_lookback,volume_mult,atr_stop_mult,atr_tp_mult,min_holding_bars,max_holding_bars,trend_sma_period,volatility_min,volatility_max,use_trend_filter,allow_long,allow_short,wf_rank,validation_total_trades,validation_win_rate,validation_profit_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_calmar_ratio,validation_total_return_pct,validation_max_drawdown_pct,validation_max_drawdown_r,validation_avg_drawdown_r,validation_expectancy,validation_expectancy_r,validation_avg_win,validation_avg_loss,validation_avg_win_r,validation_avg_loss_r,validation_avg_r_multiple,validation_payoff_ratio,validation_trades_per_day,validation_avg_holding_bars,validation_max_consecutive_losses,validation_exposure_pct,validation_total_fees,validation_total_slippage
405,-999998,12,200,1.6278227525009072,2.3198803059404005,12.776199518646067,3,36,150,0.002,0.12,True,True,False,31,3,0.3333333333333333,2.3990463452530233,1.9559178611464245,0.0,2.006924117989674,2.8525358849484035,1.0000000000000047,1.0000000000000002,1.0,950.8452949828007,0.980286326207667,4891.450388836771,-1019.457251944184,4.940858978623001,-1.0,0.980286326207667,4.798092690506047,0.005802707930367505,10,1,0.059845559845559844,84.59329235133048,175.07329186713702
351,-999998,8,20,1.118423894321867,1.779178659010511,10.359131595174253,3,72,400,0.002,0.12,True,True,False,29,7,0.42857142857142855,2.5051003123963804,2.9091756468734675,0.0,2.221643611958373,6.314874391967096,1.9900000000000015,2.0,1.370208221959501,902.1249131381588,0.9139603859616866,3503.5081896243623,-1048.9125442264938,3.4659075672439354,-1.0,0.9139603859616866,3.3401337498618404,0.013539651837524178,14,2,0.19305019305019305,233.29309493962668,479.710636365558
142,-999998,8,5,2.154227057131717,2.605236812333883,3.814601261586345,4,48,200,0.001,0.2,True,True,True,25,4,0.75,3.9055236296892923,4.043813316055752,0.0,2.0705266914956306,2.9433214080461623,1.0000000000000013,1.0000000000000002,1.0000000000000002,735.8303520115408,0.7328521749321977,1318.7767821990274,-1013.0089385509189,1.3104695665762636,-1.0000000000000002,0.7328521749321977,1.301841209896431,0.007736943907156673,14,1,0.11003861003861004,75.50690053046462,161.06558080243536
584,-999998,160,100,2.507407466425318,2.814589834377884,7.7607880897014745,1,72,400,0.001,0.2,False,True,True,34,2,0.5,2.518244828967121,1.9304673690115954,0.0,1.0702346828298737,1.5182448289671155,1.0,0.9999999999999999,0.9999999999999999,759.1224144835605,0.7718408227106672,2518.244828967121,-1000.0,2.5436816454213345,-0.9999999999999999,0.7718408227106672,2.518244828967121,0.0038684719535783366,38,1,0.14671814671814673,39.36651939314929,81.85481934768933
177,-999997,16,200,2.281708052140739,2.5120443537156105,1.9261781847771844,6,24,100,0.001,0.2,True,True,False,18,4,1.0,inf,6.818447073504028,0.0,0.0,2.495544076005972,0.0,0.0,0.0,623.8860190014956,0.6181544073726614,623.8860190014956,0.0,0.6181544073726614,0.0,0.6181544073726614,0.0,0.007736943907156673,10,0,0.08108108108108109,80.53350186834672,166.23012812326576
102,-999997,10,150,1.8582961061093675,1.925638066208816,3.0820083795845026,5,24,400,0.001,0.2,True,True,False,16,6,0.6666666666666666,2.749462571498915,3.879956118896008,67361573606272.24,2.4801682978914164,3.528601618110712,1.0,1.0,1.0,588.1002696851156,0.5859234197939855,1386.391203330165,-1008.4815976049827,1.378885129690978,-1.0,0.5859234197939855,1.3747312857494576,0.01160541586073501,8,1,0.09652509652509653,179.57785578902124,366.5883695972144
535,-999999,16,200,1.9967658502210053,3.411160346408096,8.678280328408572,5,48,100,0.0005,0.12,True,True,True,57,3,0.6666666666666666,2.6170395433306823,2.2369029215635123,0.0,1.1661852099932932,1.65468873188016,1.000000000000004,1.0,0.8274059752022576,551.5629106267247,0.5578222764888504,1338.9857598394424,-1023.2827877987105,1.3367334147332757,-1.0,0.5578222764888504,1.3085197716653412,0.005802707930367505,24,1,0.14285714285714285,52.086926554098596,110.16197907141944
326,-999996,10,50,1.0011704197485054,2.9134290909081044,7.393132697624713,1,36,600,0.001,0.12,True,True,True,15,7,0.5714285714285714,2.297686833258126,3.154462984256674,0.0,2.812510163362909,4.0041538040195155,1.0000000000000056,1.0,0.9761333290357272,572.021972002789,0.5742741442509364,1772.4406301358465,-1028.5362388412877,1.7549797524391386,-1.0,0.5742741442509364,1.7232651249435946,0.013539651837524178,16,1,0.22586872586872586,152.392124998175,313.1152204989802
312,-999992,10,75,1.5899937557303232,2.161892858571274,7.899550258726275,6,72,600,0.001,0.2,True,True,True,7,8,0.375,2.010242650138783,2.8612668487948194,6.493368457876831,1.7622076843285912,4.9996730495198864,1.9900000000000102,2.0,1.3475976232903748,624.9591311899852,0.6322672674725318,3316.218468079127,-989.7964709434998,3.265375418744043,-0.9475976232903747,0.6322672674725318,3.350404416897972,0.015473887814313346,15,2,0.24517374517374518,214.02051956233024,438.49103500123647
165,-999991,55,100,0.9247965820218877,2.807673720883498,2.088902563507074,4,48,200,0.002,0.2,False,True,False,6,10,0.8,3.140280482657128,5.605849746579353,1.7673658950550006,2.4810062054019357,3.5297997859474273,1.0000000000000049,1.0,0.7905897674984135,352.9799785947432,0.3491669051772316,647.377847513279,-824.6114970794002,0.6339238460845558,-0.7898608584520652,0.3491669051772316,0.7850701206642821,0.019342359767891684,7,1,0.15057915057915058,211.88313342808587,431.26632449189646
