trial,wf_score,donchian_lookback,volume_lookback,volume_mult,atr_stop_mult,atr_tp_mult,min_holding_bars,max_holding_bars,trend_sma_period,volatility_min,volatility_max,use_trend_filter,allow_long,allow_short,wf_windows,wf_positive_exp,wf_profitable,wf_mean_exp_r,wf_min_exp_r,wf_mean_pf,wf_min_pf,wf_mean_return_pct,wf_min_return_pct,wf_max_dd_r,wf_total_trades,wf_rank,validation_total_trades,validation_win_rate,validation_profit_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_calmar_ratio,validation_total_return_pct,validation_max_drawdown_pct,validation_max_drawdown_r,validation_avg_drawdown_r,validation_expectancy,validation_expectancy_r,validation_avg_win,validation_avg_loss,validation_avg_win_r,validation_avg_loss_r,validation_avg_r_multiple,validation_payoff_ratio,validation_trades_per_day,validation_avg_holding_bars,validation_max_consecutive_losses,validation_exposure_pct,validation_total_fees,validation_total_slippage
110,-65.93616677723787,8,10,1.5491670142373342,1.444329089913698,7.512589300799089,3,72,200,0.0,0.05,False,True,True,11,4,4,-0.11305142239283743,-1.0,0.7953936968030931,0.0,-2.047974487920779,-16.605526028949928,18.020828720623133,88,65,81,0.30864197530864196,1.177645132960524,0.9351924083552442,2.379633385155735,0.9183879272619428,10.191053670543885,7.727194603395736,7.870929576143556,3.7139053638931037,125.81547741412271,0.1362968488836287,2702.341359956643,-1024.4192915780739,2.6159832683603055,-0.9707060169541734,0.1362968488836287,2.637925097831575,0.15667311411992263,13,8,0.36126329358685144,7788.4379812537945,15571.285783259713
580,36.345102232309955,10,200,1.0770929251551171,1.6733802886676425,8.882375175120929,4,240,600,0.0,0.12,True,True,True,11,7,7,0.12953101452185248,-0.6449711770180035,1.255751250450629,0.2567195002572499,0.8092565030437889,-9.93471827789888,12.198377708608312,107,10,56,0.21428571428571427,1.0375094723773204,0.254210193926083,0.7021231997346947,0.08006638292418083,1.6358725304519321,14.399994421470561,15.259801973717458,6.88635427622838,29.212009472355817,0.04825866200519421,3770.6769747667445,-991.1875265170228,3.790354557923265,-0.9723129459724613,0.04825866200519421,3.8042013987168417,0.10831721470019343,39,10,0.706413148565904,3606.0040053453313,7241.272831896982
284,-53.66844078696475,12,10,1.5121954292179083,1.6961767654547786,5.741861935607467,4,360,600,0.003,0.05,False,True,True,11,4,4,-0.14418285649850426,-1.0,0.8194604505584846,0.0,-1.5502087632207298,-14.02135321744738,15.002035885156493,82,60,78,0.358974358974359,1.1685128420860122,0.9343410294831527,0.9459950180385229,0.681690154070575,8.133209231004527,8.331733095178153,8.61099425280418,2.963410717590384,104.27191321800683,0.11084871587260477,2014.208386595073,-965.2925118731505,1.9476922801838419,-0.9177836801416881,0.11084871587260477,2.0866300751535936,0.15087040618955513,14,6,0.3519174991943281,6635.488321881557,13310.671229072199
700,42.673534723273725,16,5,1.3453849757577585,1.965567728387117,8.561516483660514,6,36,200,0.002,0.12,True,True,True,11,8,8,0.05857591378264257,-0.7501162598765163,1.361915584381031,0.08586928009227883,0.4497204277567496,-7.964181576958246,8.981409148422271,121,6,69,0.3333333333333333,0.9976494308158623,0.06921314037390018,0.05027041837786415,-0.005142857276029635,-0.0968173539712443,13.30179188234151,14.009570275778849,6.257482292166583,-1.4031500575541713,0.008407741786750597,1786.6121946736628,-895.4108224231624,1.7576623343912796,-0.866219554515514,0.008407741786750597,1.9952988616317253,0.13346228239845262,22,13,0.5072510473735095,4478.574481733242,8977.765953905266
401,-8.038615028168408,24,5,1.3293938580019438,0.8113215982386546,5.8027200792831914,5,240,50,0.003,0.2,False,True,False,11,6,6,-0.01581753812483229,-1.0,1.1077659857144952,0.0,-0.27964588052576783,-9.561792499119562,10.0,87,36,56,0.21428571428571427,1.090515568438476,0.47289834290577903,40084954835298.266,0.22975804358302881,4.21689775317024,12.887656751263066,13.096383774791109,5.853401059604004,75.3017455923258,0.09557583316260462,4233.703227041238,-1058.8077493482867,4.112687221425488,-1.0,0.09557583316260462,3.9985570842744123,0.10831721470019343,14,11,0.27006123106670965,7136.617981054808,14296.045591823318
179,-2.9891857115110536,30,50,0.545047507817818,2.113346970038837,3.9918607734359055,5,168,300,0.001,0.08,False,True,True,11,5,5,-0.11461032873710227,-0.6245273072586243,1.01786421363336,0.18513772248573587,-1.2042773734204952,-8.428433857914802,8.74338230162074,127,32,83,0.42168674698795183,1.0344122631027728,0.2827618617411495,0.23511255065571054,0.09996130335304036,1.5789228485028142,11.133403740824077,11.389162906625327,5.406082901476972,19.023166849431277,0.0253636241646533,1356.0424683547087,-955.886740498167,1.3248569435535664,-0.9221835878897627,0.0253636241646533,1.4186225322552313,0.16054158607350097,19,5,0.5198195294875927,4911.17666781078,9839.293560019461
291,32.840544986173484,8,20,0.699783851282328,3.032107938332648,7.467834122553282,6,24,600,0.001,0.08,True,True,True,11,6,6,-0.010553682669477397,-0.4561202308486478,1.069654773877071,0.321992959769338,-0.6811880627021337,-5.8151261363963425,6.360773576550633,141,11,94,0.4148936170212766,0.9457600375658525,-0.27334937524409875,-0.2070702620724818,-0.1489541381836728,-2.5860784542049076,12.312679134773559,12.713989679581983,6.095397569175137,-27.51147291707298,-0.021980220288691725,1156.2151831986785,-866.881283617333,1.1163810266931924,-0.8291818317849368,-0.021980220288691725,1.3337641555415862,0.18181818181818182,16,7,0.5127296165001611,4319.882553265691,8649.564182174121
433,13.758883424872732,8,5,1.3238227849503952,2.7388830789427647,7.835466654922706,1,48,600,0.0005,0.08,False,True,True,11,5,5,0.017324069314789955,-0.46962272304971653,1.1984407318303827,0.2457814017710679,-0.9301708825569989,-9.571917118375845,12.542153648009318,187,21,125,0.36,0.9867162548763406,-0.001798558465193147,-0.0012879108965827143,-0.047603711697884785,-0.7883347845618847,11.713142859957882,11.975449131930612,6.151766575937633,-6.306678276495461,-0.00012882936830877422,1301.2775120110553,-741.8227853132427,1.2715211331684395,-0.7154319332952298,-0.00012882936830877422,1.7541622308912725,0.24177949709864605,18,8,0.7476635514018691,6494.152972154726,13024.99197654228
729,-18.57650156503793,8,200,0.9538092775415355,3.2227133256190412,12.302631145508707,3,24,50,0.0005,0.2,True,True,False,11,4,4,-0.11197919765775403,-0.7403836853715194,0.9379640604253723,0.022960045106202517,-0.9042624246798581,-7.857562093785308,8.144220539086714,113,46,64,0.40625,0.979271567537374,-0.03906855862385683,-0.017130598601515248,-0.05323810787596397,-0.5865216150446649,7.7899686582647325,7.899049902735438,3.796887025933127,-9.164400235073458,-0.003684604661695491,1065.7304097328902,-744.6187438973644,1.0465791938718143,-0.7222861510267286,-0.003684604661695491,1.4312430602469317,0.12379110251450677,18,9,0.3747985820174025,2796.641870008202,5597.735211948221
241,0.09538095803538482,30,20,0.658124185436443,0.8183932387880429,6.11413349483686,1,72,600,0.001,0.12,True,True,True,11,7,7,0.0021836740424035243,-1.0,1.0332774432699499,0.0,0.008927958439403355,-11.361512828387086,12.0,114,28,74,0.21621621621621623,1.0511178174708826,0.35083552822731745,22460136081217.87,0.13568955606058264,2.9790908523161925,15.443941363424237,16.33757261082539,7.85755493420604,40.25798449075933,0.060964178920925,3828.625259330771,-1004.8088499478647,3.906959327509278,-1.0,0.060964178920925,3.810302088331947,0.14313346228239845,10,10,0.24718014824363518,8519.623273407828,17079.215295425143
192,-72.79341604949764,10,75,0.9818775248785463,0.7825866455732001,12.579837605150995,3,360,50,0.001,0.2,False,True,False,11,4,3,-0.23441755813133056,-1.0,0.847535758718313,0.0,-2.4450357711144686,-14.761304384011135,16.0,117,67,52,0.11538461538461539,1.2264375880899394,0.7427454576609328,72581317222598.4,0.44145956096969075,11.0328868555925,17.38313761644134,19.0,8.40782240574098,212.17090106908688,0.2595671973001169,9959.43831512314,-1059.2118051118766,9.916249043267682,-1.0,0.2595671973001169,9.402688175356202,0.10058027079303675,29,19,0.4885594585884628,6254.358681232636,12543.411176165791
90,-6.319510380218997,30,75,1.0090906591876951,2.8781569018229383,3.3920672190854555,2,168,50,0.003,0.08,False,True,True,11,3,3,-0.116597980049725,-0.4104280093385988,0.95023095177077,0.4101311550215139,-1.3159877972954985,-4.86411661350423,6.16114148486712,126,34,91,0.5164835164835165,0.9568992826934981,-0.23920840745437946,-0.2024300407842841,-0.12345452851808528,-1.858180040386971,10.662836521642326,10.959981625049515,5.573023186663821,-20.419560883372696,-0.016426428831914003,877.7516689359685,-979.8297381903965,0.8516510545305028,-0.9436910133326772,-0.016426428831914003,0.8958206050747639,0.1760154738878143,18,5,0.5549468256525942,4155.130783493947,8341.473512041852
342,-3.330599376578827,20,14,1.2371365344307308,3.4830481667874174,2.8214218674153497,5,48,600,0.0005,0.12,True,True,True,11,4,4,-0.11897935016137041,-0.5615688237846005,0.8102231002989903,0.19753955703810427,-1.1565355365731547,-5.497244125205791,5.615688237846005,113,33,72,0.5972222222222222,0.8801108939072165,-0.6695531773598058,-0.36126935233356844,-0.21836180607590963,-3.128665948501788,10.169486501150045,10.612969224319896,6.718697191054309,-43.45369372919083,-0.041450753250216014,534.1317749866837,-899.8735266527289,0.5439901911592541,-0.9095183604780508,-0.041450753250216014,0.5935631610071923,0.13926499032882012,16,4,0.39349017080244925,2781.790763546229,5583.272247761568
