candidate,kind,symbol,timeframe,train_expectancy_r,train_max_drawdown_r,train_profit_factor,train_score,train_total_trades,window
v3_wf_edge_BTCUSDT_4h_20260608_192533,v3,BTCUSDT,4h,0.7093889595559807,5.583624624041601,2.3515140327417594,102.9896522799965,31,3
family_edge_BTCUSDT_12h_20260608_194342,family:channel_breakout,BTCUSDT,12h,1.4588234588069626,3.0,2.8371149397729787,-999993,7,4
family_edge_BTCUSDT_1h_20260608_194104,family:ema_momentum,BTCUSDT,1h,0.1448485679078409,7.133663670175727,1.2263285223836573,-0.5051289751243608,41,4
family_edge_BTCUSDT_4h_20260608_193935,family:squeeze_breakout,BTCUSDT,4h,0.26431457361384414,8.0,1.3019786692119861,13.608382630887405,13,4
family_edge_BTCUSDT_4h_20260608_194014,family:channel_breakout,BTCUSDT,4h,0.516335571726541,2.0,2.238180715258958,-999990,10,4
family_edge_ETHUSDT_4h_20260608_194104,family:squeeze_breakout,ETHUSDT,4h,0.23858343605398158,7.351101794813138,1.2909757030154052,14.297059969761055,32,4
family_edge_SOLUSDT_4h_20260608_194104,family:squeeze_breakout,SOLUSDT,4h,0.07885263318681278,1.4438199112132242,1.3687342189281042,11.712823746133715,13,4
family_wf_edge_BTCUSDT_12h_20260608_194342,family:channel_breakout,BTCUSDT,12h,-0.20770724709426894,7.569122502153092,0.6853296497403187,-58.6922755327935,24,4
family_wf_edge_BTCUSDT_4h_20260608_194317,family:ema_momentum,BTCUSDT,4h,-0.2883065728207077,11.679892817016137,0.4908805873176991,-80.5585060050995,36,4
family_wf_edge_SOLUSDT_4h_20260608_194416,family:channel_breakout,SOLUSDT,4h,-0.033264826480017946,2.16809099289436,0.8777812617554881,-20.593859146059337,15,4
v3_edge_BTCUSDT_1d_20260608_192634,v3,BTCUSDT,1d,0.8398202521127456,3.0,2.9340450947268746,-999989,11,4
v3_edge_BTCUSDT_1h_20260608_191157,v3,BTCUSDT,1h,-0.03630820450378727,2.535323179948796,0.837217636561242,-16.697489667920127,41,4
v3_edge_BTCUSDT_1h_20260608_191205,v3,BTCUSDT,1h,-0.07814105974240511,8.342350517339437,0.8523709143481745,-40.88613685683535,33,4
v3_edge_BTCUSDT_4h_20260608_191322,v3,BTCUSDT,4h,-0.06167707194400395,9.0,0.8964920744433443,-42.00220956608025,34,4
v3_edge_BTCUSDT_4h_20260608_191403,v3,BTCUSDT,4h,0.04191721152317617,13.0,1.0222141303405452,-39.51762337381401,26,4
v3_edge_BTCUSDT_4h_20260608_191650,v3,BTCUSDT,4h,0.4478818841068697,11.503691507160424,1.5364412618101393,33.09185220301555,29,4
v3_edge_BTCUSDT_4h_20260608_191932,v3,BTCUSDT,4h,0.09609802499355867,3.3585172891390114,1.352574021962632,9.737485197987775,58,4
v3_edge_BTCUSDT_4h_20260608_192109,v3,BTCUSDT,4h,0.7066961534560607,5.0,1.8648647123433288,95.12725304552778,17,4
v3_edge_ETHUSDT_4h_20260608_191748,v3,ETHUSDT,4h,0.1246759402009818,4.292768375527789,1.305585299544365,10.456382664136818,37,4
v3_edge_SOLUSDT_4h_20260608_191748,v3,SOLUSDT,4h,-0.04300849116633189,3.5096902962803007,0.8907312619009203,-19.732934158561658,15,4
v3_wf_edge_BTCUSDT_1d_20260608_192634,v3,BTCUSDT,1d,6.66414978021503,0.0,inf,-999999,1,4
v3_wf_edge_BTCUSDT_4h_20260608_192533,v3,BTCUSDT,4h,0.7131987678474142,5.583624624041601,2.125744500246735,98.06645857800228,27,4
family_edge_BTCUSDT_12h_20260608_194342,family:channel_breakout,BTCUSDT,12h,-1.0,4.0,0.0,-999996,4,5
family_edge_BTCUSDT_1h_20260608_194104,family:ema_momentum,BTCUSDT,1h,0.09958170883450906,7.133663670175726,1.1501108997625635,-8.219043597563749,43,5
family_edge_BTCUSDT_4h_20260608_193935,family:squeeze_breakout,BTCUSDT,4h,-0.3682108800294693,8.0,0.5391465654822684,-86.92789683225656,12,5
family_edge_BTCUSDT_4h_20260608_194014,family:channel_breakout,BTCUSDT,4h,-0.2718022418613589,3.0,0.6116937274341914,-999993,7,5
family_edge_ETHUSDT_4h_20260608_194104,family:squeeze_breakout,ETHUSDT,4h,0.13761802182593044,11.814184172004115,1.152694380636473,-12.573360371361922,34,5
family_edge_SOLUSDT_4h_20260608_194104,family:squeeze_breakout,SOLUSDT,4h,0.13934866498801005,1.57523735315548,1.8419945263664066,30.672720374924104,12,5
family_wf_edge_BTCUSDT_12h_20260608_194342,family:channel_breakout,BTCUSDT,12h,-0.4594584846920594,8.797009285428619,0.4046778713560518,-100.61135266827972,18,5
family_wf_edge_BTCUSDT_4h_20260608_194317,family:ema_momentum,BTCUSDT,4h,-0.13140877267560958,9.448206033831871,0.7070196503554224,-50.511080906962846,37,5
family_wf_edge_SOLUSDT_4h_20260608_194416,family:channel_breakout,SOLUSDT,4h,0.05132655448022507,2.16809099289436,1.2197859939828994,-1.3888660477698735,17,5
v3_edge_BTCUSDT_1d_20260608_192634,v3,BTCUSDT,1d,-0.28024425548443865,4.0,0.5843983783172899,-999991,9,5
v3_edge_BTCUSDT_1h_20260608_191157,v3,BTCUSDT,1h,-0.027662049534227923,3.0539454689094896,0.8910055392545179,-15.31982443516018,39,5
v3_edge_BTCUSDT_1h_20260608_191205,v3,BTCUSDT,1h,-0.018913683593233525,8.342350517339435,0.9516278869040573,-30.804410616101855,27,5
v3_edge_BTCUSDT_4h_20260608_191322,v3,BTCUSDT,4h,-0.0624742472962552,7.610600525970794,0.8944500408893302,-33.37605221911084,25,5
v3_edge_BTCUSDT_4h_20260608_191403,v3,BTCUSDT,4h,-0.22024168323851986,12.0,0.7130223474332031,-77.5188824826107,22,5
v3_edge_BTCUSDT_4h_20260608_191650,v3,BTCUSDT,4h,-0.2043598277166498,11.503691507160424,0.720149684905979,-71.29056817974183,29,5
